Comment,Designator,Footprint,LCSC Part #,MPN,Manufacturer,Sourcing,Sourcing Reference
"KF128-7.62-3P",J_IN,"DogFence:KF128_7.62_3P_Input",C474957,"KF128-7.62-3P","Cixi Kefa Elec",LCSC,
"KF128-7.62-3P",J_EARTH,"DogFence:KF128_7.62_3P_Earth",C474957,"KF128-7.62-3P","Cixi Kefa Elec",LCSC,
"KF129-5.08-2P",J_LED_A,"DogFence:KF129_5.08_2P_LED_A",C475092,"KF129-5.08-2P","Cixi Kefa Elec",LCSC,
"KF129-5.08-2P",J_LED_C,"DogFence:KF129_5.08_2P_LED_C",C475092,"KF129-5.08-2P","Cixi Kefa Elec",LCSC,
"2.2k 2W",R1,"DogFence:R_2512_6332Metric",C2791283,"HP122WF2201T4E","Uni-Royal",LCSC,
"2.2k 2W",R2,"DogFence:R_2512_6332Metric",C2791283,"HP122WF2201T4E","Uni-Royal",LCSC,
"BYG23T-M3",D1,"DogFence:BYG23T_SMA_K_Right",C145454,"BYG23T-M3/TR","Vishay General Semiconductor",LCSC,
"BYG23T-M3",D2,"DogFence:BYG23T_SMA_K_Right",C145454,"BYG23T-M3/TR","Vishay General Semiconductor",LCSC,
"BYG23T-M3",D3,"DogFence:BYG23T_SMA_K_Right",C145454,"BYG23T-M3/TR","Vishay General Semiconductor",LCSC,
"BYG23T-M3",D4,"DogFence:BYG23T_SMA_K_Right",C145454,"BYG23T-M3/TR","Vishay General Semiconductor",LCSC,
"SMD5050-470NA",GDT_AB,"DogFence:SMD5050-470NA",C39692533,"SMD5050-470NA","Ruilon",LCSC,
"SMD5050-470NA",GDT_BC,"DogFence:SMD5050-470NA",C39692533,"SMD5050-470NA","Ruilon",LCSC,
"B5G470L",GDT_AC,"DogFence:B5G470L_P15.24mm_NS_Overpass",C5337217,"B5G470L","Bencent",LCSC,
"2R470TD-8",GDT_A_E,"DogFence:2R470TD-8_P15.24mm",C2836978,"2R470TD-8","Ruilon",LCSC,
"2R470TD-8",GDT_B_E,"DogFence:2R470TD-8_P15.24mm",C2836978,"2R470TD-8","Ruilon",LCSC,
"2R470TD-8",GDT_C_E,"DogFence:2R470TD-8_P15.24mm",C2836978,"2R470TD-8","Ruilon",LCSC,
