Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4007G,DogFence:1N4007G_P10.16mm_K_Right,132.500000,-104.500000,0.000000,top
D2,1N4007G,DogFence:1N4007G_P10.16mm_K_Right,132.500000,-140.500000,0.000000,top
GDT_AB,SMD5050-470NA,DogFence:SMD5050-470NA,119.500000,-118.690000,0.000000,top
GDT_AC,B5G470L,DogFence:B5G470L_P15.24mm_NS_Overpass,125.800000,-122.500000,0.000000,top
GDT_A_E,2R470TD-8,DogFence:2R470TD-8_P15.24mm,138.620000,-113.500000,0.000000,top
GDT_BC,SMD5050-470NA,DogFence:SMD5050-470NA,119.500000,-126.310000,0.000000,top
GDT_B_E,2R470TD-8,DogFence:2R470TD-8_P15.24mm,138.620000,-122.500000,0.000000,top
GDT_C_E,2R470TD-8,DogFence:2R470TD-8_P15.24mm,138.620000,-131.500000,0.000000,top
J_EARTH,KF128-7.62-3P,DogFence:KF128_7.62_3P_Earth,155.000000,-122.500000,180.000000,top
J_IN,KF128-7.62-3P,DogFence:KF128_7.62_3P_Input,106.000000,-122.500000,0.000000,top
J_LED_A,KF129-5.08-2P,DogFence:KF129_5.08_2P_LED_A,145.500000,-103.000000,90.000000,top
J_LED_C,KF129-5.08-2P,DogFence:KF129_5.08_2P_LED_C,145.500000,-142.000000,270.000000,top
R1,2.2k 1W,DogFence:MBE0414_P15.24mm,116.000000,-104.500000,0.000000,top
R2,2.2k 1W,DogFence:MBE0414_P15.24mm,116.000000,-140.500000,0.000000,top
