Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4007G","D_DO-41_SOD81_P10.16mm_Horizontal",131.000000,-106.500000,0.000000,top
"D2","1N4007G","D_DO-41_SOD81_P10.16mm_Horizontal",131.000000,-138.500000,0.000000,top
"GDT1","2R470TD-8","R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal",131.000000,-117.420000,0.000000,top
"GDT2","2R470TD-8","R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal",131.000000,-122.500000,0.000000,top
"GDT3","2R470TD-8","R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal",131.000000,-127.580000,0.000000,top
"H1","M3","MountingHole_3.2mm_M3",103.500000,-103.500000,0.000000,top
"H2","M3","MountingHole_3.2mm_M3",156.500000,-103.500000,0.000000,top
"H3","M3","MountingHole_3.2mm_M3",103.500000,-141.500000,0.000000,top
"H4","M3","MountingHole_3.2mm_M3",156.500000,-141.500000,0.000000,top
"J_EARTH","KF129S-5.08-2P","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",154.000000,-122.500000,180.000000,top
"J_IN","KF128-5.08-3P","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",106.000000,-122.500000,0.000000,top
"J_LED_A","KF129S-5.08-2P","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",144.000000,-106.500000,90.000000,top
"J_LED_C","KF129S-5.08-2P","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",144.000000,-138.500000,-90.000000,top
"R1","2.2k 1W","R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal",116.000000,-106.500000,0.000000,top
"R2","2.2k 1W","R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal",116.000000,-138.500000,0.000000,top
